NO,DATE,ACTIVITY,,,TIME,,,,
,,RIG,WELL,NOTE,ON,OFF,TOTAL HOUR,OVER TIME,CODE
1,"Saturday, May 16, 2026",,,Monitoring (Shift 1),08:00,20:00,12:00:00,0:00:00,
2,"Sunday, May 17, 2026",,,Monitoring (Shift 1),08:00,20:00,12:00:00,0:00:00,
3,"Monday, May 18, 2026",ACS 26,KOPAR-51,R/U (Setting Agregator),08:00,23:00,15:00:00,3:00:00,
4,"Tuesday, May 19, 2026",ACS 26,KOPAR-51,R/U (Set IP IDS & MWD),07:00,20:00,13:00:00,1:00:00,
5,"Wednesday, May 20, 2026",ACS 26,KOPAR-51,"Trouble pd agen main & bu, sesuaikan data dari MWD dengan server",22:00,20:00,22:00:00,10:00:00,
6,"Thursday, May 21, 2026",,,DAY OFF,00:00,00:00,0:00:00,0:00:00,
7,"Friday, May 22, 2026",,,DAY OFF,00:00,00:00,0:00:00,0:00:00,
8,"Saturday, May 23, 2026",,,DAY OFF,00:00,00:00,0:00:00,0:00:00,
9,"Sunday, May 24, 2026",,,DAY OFF,00:00,00:00,0:00:00,0:00:00,
10,"Monday, May 25, 2026",,,DAY OFF,00:00,00:00,0:00:00,0:00:00,
11,"Tuesday, May 26, 2026",,,Monitoring (Shift 2),20:00,08:00,12:00:00,0:00:00,
12,"Wednesday, May 27, 2026",,,Monitoring (Shift 2),20:00,08:00,12:00:00,0:00:00,
13,"Thursday, May 28, 2026",,,Monitoring (Shift 2),20:00,08:00,12:00:00,0:00:00,
14,"Friday, May 29, 2026",BDSI 19,BEKA-253,Monitoring (Shift 2) & R/U (setting aggregator + change switch VLAN),20:00,12:30,16:30:00,4:30:00,
15,"Saturday, May 30, 2026",,,Monitoring (Shift 2),20:00,08:00,12:00:00,0:00:00,
16,"Sunday, May 31, 2026",,,Monitoring (Shift 2),20:00,08:00,12:00:00,0:00:00,
17,"Monday, June 1, 2026",,,Monitoring (Shift 2),20:00,08:00,12:00:00,0:00:00,
18,"Tuesday, June 2, 2026",,,Monitoring (Shift 2),20:00,08:00,12:00:00,0:00:00,
19,"Wednesday, June 3, 2026",,,Monitoring (Shift 2),20:00,08:00,12:00:00,0:00:00,
20,"Thursday, June 4, 2026",,,Monitoring (Shift 2),20:00,08:00,12:00:00,0:00:00,
21,"Friday, June 5, 2026",,,DAY OFF,00:00,00:00,0:00:00,0:00:00,
22,"Saturday, June 6, 2026",,,DAY OFF,00:00,00:00,0:00:00,0:00:00,
23,"Sunday, June 7, 2026",,,DAY OFF,00:00,00:00,0:00:00,0:00:00,
24,"Monday, June 8, 2026",,,DAY OFF,00:00,00:00,0:00:00,0:00:00,
25,"Tuesday, June 9, 2026",,,DAY OFF,00:00,00:00,0:00:00,0:00:00,
26,"Wednesday, June 10, 2026",,,Monitoring (Shift 1) & R/U (cek kabel IDS & Connect MWD),08:00,20:00,12:00:00,0:00:00,
27,"Thursday, June 11, 2026",,,Monitoring (Shift 1),08:00,20:00,12:00:00,0:00:00,
28,"Friday, June 12, 2026",,,Monitoring (Shift 1),08:00,20:00,12:00:00,0:00:00,
29,"Saturday, June 13, 2026",,,Monitoring (Shift 1),08:00,20:00,12:00:00,0:00:00,
30,"Sunday, June 14, 2026",,,Monitoring (Shift 1),08:00,20:00,12:00:00,0:00:00,
31,"Monday, June 15, 2026",,,Monitoring (Shift 1),08:00,20:00,12:00:00,0:00:00,
,,,,,,,,,
,Note :,,,,,,,,
1,Job,,,,,,,,
2,Monitoring,,,,,,,,
3,Hari Raya,,,,,,,,
